contract_id,attachment_count,source_pdfs,source_txts,merged_txt,attachment_errors
11818482,1,11818482.pdf,11818482.txt,11818482.txt,
11818484,1,11818484.pdf,11818484.txt,11818484.txt,
11818486,1,11818486.pdf,11818486.txt,11818486.txt,
11818488,1,11818488.pdf,11818488.txt,11818488.txt,
11818490,1,11818490.pdf,11818490.txt,11818490.txt,
11818492,2,11818492_1.pdf;11818492_2.pdf,11818492_1.txt;11818492_2.txt,11818492.txt,
11818493,2,11818493_1.pdf;11818493_2.pdf,11818493_1.txt;11818493_2.txt,11818493.txt,
11818494,2,11818494_1.pdf;11818494_2.pdf,11818494_1.txt;11818494_2.txt,11818494.txt,
11818498,1,11818498.pdf,11818498.txt,11818498.txt,
11818500,1,11818500.pdf,11818500.txt,11818500.txt,
11818502,1,11818502.pdf,11818502.txt,11818502.txt,
11818505,1,11818505.pdf,11818505.txt,11818505.txt,
11818507,2,11818507_1.pdf;11818507_2.pdf,11818507_1.txt;11818507_2.txt,11818507.txt,
11818508,1,11818508.pdf,11818508.txt,11818508.txt,
11818511,3,11818511_1.pdf;11818511_2.pdf;11818511_3.pdf,11818511_1.txt;11818511_2.txt;11818511_3.txt,11818511.txt,
11818512,1,11818512.pdf,11818512.txt,11818512.txt,
11818514,1,11818514.pdf,11818514.txt,11818514.txt,
11818517,1,11818517.pdf,11818517.txt,11818517.txt,
11818520,1,11818520.pdf,11818520.txt,11818520.txt,
11818522,1,11818522.pdf,11818522.txt,11818522.txt,
11818523,1,11818523.pdf,11818523.txt,11818523.txt,
11818526,1,11818526.pdf,11818526.txt,11818526.txt,
11818527,1,11818527.pdf,11818527.txt,11818527.txt,
11818530,1,11818530.pdf,11818530.txt,11818530.txt,
11818531,1,11818531.pdf,11818531.txt,11818531.txt,
11818534,1,11818534.pdf,11818534.txt,11818534.txt,
11818535,1,11818535.pdf,11818535.txt,11818535.txt,
11818538,1,11818538.pdf,11818538.txt,11818538.txt,
11818539,1,11818539.pdf,11818539.txt,11818539.txt,
11818542,2,11818542_1.pdf;11818542_2.pdf,11818542_1.txt;11818542_2.txt,11818542.txt,
11818543,1,11818543.pdf,11818543.txt,11818543.txt,
11818547,1,11818547.pdf,11818547.txt,11818547.txt,
11818549,1,11818549.pdf,11818549.txt,11818549.txt,
11818551,1,11818551.pdf,11818551.txt,11818551.txt,
11818553,1,11818553.pdf,11818553.txt,11818553.txt,
11818555,1,11818555.pdf,11818555.txt,11818555.txt,
11818556,1,11818556.pdf,11818556.txt,11818556.txt,
11818559,3,11818559_1.pdf;11818559_2.pdf;11818559_3.pdf,11818559_1.txt;11818559_2.txt;11818559_3.txt,11818559.txt,
11818562,1,11818562.pdf,11818562.txt,11818562.txt,
11818565,1,11818565.pdf,11818565.txt,11818565.txt,
11818566,2,11818566_1.pdf;11818566_2.pdf,11818566_1.txt;11818566_2.txt,11818566.txt,
11818567,1,11818567.pdf,11818567.txt,11818567.txt,
11818570,1,11818570.pdf,11818570.txt,11818570.txt,
11818572,1,11818572.pdf,11818572.txt,11818572.txt,
11818574,1,11818574.pdf,11818574.txt,11818574.txt,
11818576,1,11818576.pdf,11818576.txt,11818576.txt,
11818578,1,11818578.pdf,11818578.txt,11818578.txt,
11818580,1,11818580.pdf,11818580.txt,11818580.txt,
11818582,1,11818582.pdf,11818582.txt,11818582.txt,
11818584,1,11818584.pdf,11818584.txt,11818584.txt,
11818586,1,11818586.pdf,11818586.txt,11818586.txt,
11818588,1,11818588.pdf,11818588.txt,11818588.txt,
11818590,1,11818590.pdf,11818590.txt,11818590.txt,
11818592,1,11818592.pdf,11818592.txt,11818592.txt,
11818594,1,11818594.pdf,11818594.txt,11818594.txt,
11818596,1,11818596.pdf,11818596.txt,11818596.txt,
11818598,1,11818598.pdf,11818598.txt,11818598.txt,
11818600,1,11818600.pdf,11818600.txt,11818600.txt,
11818602,1,11818602.pdf,11818602.txt,11818602.txt,
11818604,1,11818604.pdf,11818604.txt,11818604.txt,
11818606,1,11818606.pdf,11818606.txt,11818606.txt,
11818608,1,11818608.pdf,11818608.txt,11818608.txt,
11818610,1,11818610.pdf,11818610.txt,11818610.txt,
11818612,1,11818612.pdf,11818612.txt,11818612.txt,
11818614,1,11818614.pdf,11818614.txt,11818614.txt,
11818616,1,11818616.pdf,11818616.txt,11818616.txt,
11818618,1,11818618.pdf,11818618.txt,11818618.txt,
